name,file,theorems_before_count,tactics_count,tactics
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,2,80,move;have;rewrite;move;rewrite;invcs;rewrite;case;have;rewrite;repeat;break_let;tuple_inversion;apply;rewrite;exact;rewrite;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;rewrite;repeat;break_let;break_and;repeat;tuple_inversion;rewrite;set;set;have;rewrite;apply;rewrite;break_if;break_if;rewrite;rewrite;rewrite;rewrite;rewrite;case;have;rewrite;repeat;break_let;tuple_inversion;apply;exact;rewrite;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;rewrite;repeat;break_let;break_and;repeat;tuple_inversion;rewrite;rewrite;set;set;have;rewrite;apply;rewrite;break_if;break_if;rewrite;rewrite;rewrite;rewrite
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,8,6,destruct;unfold;simpl;f_equal;rewrite;map_id
snoc_at_head_of_queue_preserved,systems/LockServ.v,19,6,unfold;intuition;break_exists;rewrite;find_rewrite;eauto
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,4,7,induction;intros;simpl;intuition;find_apply_lem_hyp;intuition;eauto
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,9,133,move;invcs;destruct;rewrite;destruct;rewrite;have;case;rewrite;inversion;case;case;rewrite;exists;split;have;rewrite;have;rewrite;destruct;find_inversion;rewrite;rewrite;apply;suff;rewrite;have;rewrite;repeat;break_let;inversion;simpl;have;destruct;simpl;find_inversion;rewrite;have;destruct;simpl;find_inversion;rewrite;rewrite;rewrite;find_inversion;find_apply_lem_hyp;exact;symmetry;rewrite;have;destruct;find_inversion;have;destruct;find_inversion;have;destruct;find_inversion;rewrite;have;rewrite;repeat;break_let;inversion;rewrite;simpl;rewrite;rewrite;find_inversion;clean;set;set;set;set;have;rewrite;elim;case;rewrite;find_rewrite;rewrite;have;rewrite;apply;repeat;break_if;find_reverse_rewrite;find_rewrite_lem;find_rewrite;find_rewrite_lem;rewrite;rewrite;destruct;simpl;have;have;rewrite;repeat;break_let;rewrite;rewrite;rewrite;find_inversion;find_inversion;exists;split;apply;find_rewrite;suff;rewrite;find_apply_lem_hyp;exact;rewrite;set;set;set;set;have;rewrite;elim;case;rewrite;have;rewrite;rewrite;apply;repeat;break_if;find_reverse_rewrite;find_rewrite_lem;find_rewrite;find_rewrite_lem;rewrite
Lock_delivered_MsgLock,systems/LiveLockServ.v,79,21,unfold;intros;invcs;repeat;find_rewrite;find_eapply_lem_hyp;eauto;subst;monad_unfold;simpl;handler_unfold;repeat;break_match;repeat;find_inversion;auto;unfold;find_false;apply;auto;intuition
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,37,8,unfold;intuition;break_exists;exists;intuition;firstorder;now;rewrite
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,88,6,intros;apply;eauto;unfold;simpl;congruence
nwnw_unlock_lock,systems/LiveLockServ.v,32,5,unfold;intros;destruct;intuition;discriminate
disk_correct_reboot,systems/LogCorrect.v,3,20,intros;unfold;unfold;break_exists;intuition;repeat;find_rewrite;repeat;rewrite;repeat;rewrite;rewrite;repeat;find_rewrite;rewrite;find_inversion;exists;exists;exists;intuition
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,3,6,induction;intros;subst;simpl;intuition;eauto
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,46,2,set_up_net_handlers;eauto
dup_drop_step_star_step_1,core/DupDropReordering.v,3,4,intros;apply;eauto;constructor
pt_map_map_pair_eq,core/PartialMapSimulations.v,23,5,move;apply;exact;apply;exact
trace_mutual_exclusion'_extend_input,systems/LockServ.v,62,6,induction;intros;simpl;repeat;break_match;intuition
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,28,26,move;change;change;move;induction;rewrite;exact;concludes;repeat;find_rewrite;destruct;destruct;rewrite;find_apply_lem_hyp;move;apply;simpl;rewrite;case;have;apply;rewrite;apply;exact;move;rewrite
mgv_ghost_simulation_1,core/GhostSimulations.v,7,29,move;apply;rewrite;rewrite;rewrite;rewrite;rewrite;move;set;set;have;rewrite;apply;case;rewrite;set;set;set;set;have;rewrite;apply;case;rewrite;have;rewrite;apply;case;rewrite
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,48,7,assert;find_apply_lem_hyp;unfold;intros;apply;apply;auto
locks_correct_update_false,systems/LiveLockServ.v,6,9,unfold;intuition;destruct;find_inversion;exfalso;rewrite;congruence;rewrite;auto
last_holder'_input_extend,systems/LiveLockServ.v,66,7,induction;intros;simpl;repeat;break_match;auto;congruence
LockServ_nwnw_input_handlers_new_new,systems/LiveLockServ.v,44,1,set_up_input_handlers
PrimaryNetHandler_no_msgs,systems/Counter.v,4,6,unfold;intros;monad_unfold;break_match;find_inversion;auto
log_input_handlers_spec,systems/LogCorrect.v,2,38,intros;unfold;unfold;break_if;break_let;find_inversion;simpl;exists;intuition;find_inversion;simpl;break_exists;intuition;exists;intuition;rewrite;rewrite;simpl;rewrite;reflexivity;break_match;find_inversion;reflexivity;congruence;cheerios_crush;rewrite;rewrite;reflexivity;rewrite;rewrite;simpl;rewrite;reflexivity;rewrite;rewrite;simpl;rewrite;reflexivity
log_step_failure_star_simulation,systems/LogCorrect.v,7,20,intros;change;change;revert;induction;intro;find_rewrite;simpl;unfold;simpl;unfold;constructor;concludes;destruct;destruct;subst;apply;apply;apply;eauto
step_ordered_failure_serialized_simulation_star,systems/SerializedMsgParamsCorrect.v,20,12,move;apply;rewrite;have;rewrite;clear;elim;case;case;rewrite;rewrite;rewrite
tot_map_net_label_event_inf_often_occurred_conv,core/TotalMapExecutionSimulations.v,4,19,move;apply;apply;rewrite;case;case;move;inversion;subst_max;rewrite;case;case;move;inversion;subst_max;case;rewrite;move;exact
inputs_m_inr,systems/PrimaryBackup.v,9,7,unfold;intros;simpl;repeat;break_match;auto;discriminate
Nth_app,systems/LiveLockServ.v,82,8,induction;intros;simpl;solve_by_inversion;invcs;constructor;constructor;auto
pt_ext_init_handlers_fun_eq,core/PartialExtendedMapSimulations.v,0,4,apply;have;rewrite;rewrite
nwnw_lock,systems/LiveLockServ.v,42,4,unfold;intuition;simpl;congruence
locks_correct_net_handlers,systems/LiveLockServ.v,20,2,set_up_net_handlers;eauto
step_ordered_dynamic_failure_tot_one_mapped_simulation_star_1,core/SingleSimulations.v,4,28,move;have;move;induction;rewrite;concludes;rewrite;case;case;rewrite;move;case;exists;have;rewrite;exact;have;have;case;rewrite;exists;have;exists;apply;have;rewrite;apply;exact
decomposition_invariant,core/StatePacketPacketDecomposition.v,5,40,unfold;intuition;unfold;simpl;intuition;auto;unfold;intros;invcs;intuition;simpl;eauto;find_apply_lem_hyp;intuition;eauto;apply;eauto;intros;do_in_map;subst;apply;eauto;simpl;now;rewrite;eauto;find_apply_lem_hyp;intuition;eauto;apply;eauto;intros;do_in_map;subst;apply;apply;eauto;simpl;now;rewrite
map_id_tr,core/GhostSimulations.v,0,6,elim;move;rewrite;break_let;break_match;rewrite
step_ordered_failure_tot_one_mapped_simulation_1,core/SingleSimulations.v,0,25,move;invcs;rewrite;break_if;left;right;subst_max;destruct;have;break_and;exists;apply;rewrite;rewrite;break_if;left;right;subst_max;destruct;have;break_and;exists;apply;rewrite;left
step_ordered_pt_mapped_simulation_1,core/PartialMapSimulations.v,14,77,move;case;move;destruct;left;rewrite;apply;rewrite;destruct;congruence;find_injection;rewrite;rewrite;rewrite;repeat;break_let;inversion;rewrite;rewrite;right;rewrite;have;rewrite;split;rewrite;rewrite;rewrite;set;set;set;set;have;rewrite;apply;rewrite;case;rewrite;have;rewrite;apply;apply;rewrite;case;move;rewrite;case;rewrite;rewrite;move;destruct;left;apply;rewrite;have;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;right;rewrite;have;rewrite;split;rewrite;rewrite;rewrite;set;set;have;rewrite;apply;rewrite;case;rewrite;rewrite
step_ordered_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,24,91,move;invcs;destruct;left;rewrite;apply;rewrite;find_rewrite;rewrite;destruct;rewrite;inversion;exact;rewrite;repeat;break_let;find_inversion;rewrite;rewrite;right;have;rewrite;split;rewrite;set;set;set;set;have;rewrite;apply;rewrite;case;rewrite;have;rewrite;apply;apply;rewrite;case;move;rewrite;case;rewrite;rewrite;case;left;apply;exact;rewrite;have;rewrite;find_rewrite;rewrite;rewrite;rewrite;rewrite;right;rewrite;have;rewrite;split;rewrite;rewrite;set;set;have;rewrite;apply;rewrite;case;rewrite;rewrite;left;rewrite;set;have;rewrite;rewrite;apply;apply;exact;apply;apply;exact;move;rewrite;apply;exact;rewrite;rewrite
lb_step_ordered_dynamic_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,14,83,move;have;rewrite;move;rewrite;invcs;rewrite;case;have;rewrite;repeat;break_let;tuple_inversion;apply;exact;exact;rewrite;rewrite;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;rewrite;repeat;break_let;break_and;repeat;tuple_inversion;rewrite;rewrite;set;set;have;rewrite;apply;rewrite;break_if;break_if;rewrite;rewrite;rewrite;rewrite;rewrite;case;have;rewrite;repeat;break_let;tuple_inversion;apply;exact;exact;rewrite;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;rewrite;repeat;break_let;break_and;repeat;tuple_inversion;rewrite;rewrite;set;set;have;rewrite;apply;rewrite;break_if;break_if;rewrite;rewrite;rewrite;rewrite
inputs_with_key_plus_key,systems/VarD.v,4,15,induction;intros;simpl;unfold;simpl;repeat;break_match;congruence;unfold;simpl;repeat;break_match;simpl;f_equal;eauto
remove_neq_o,lib/FMapVeryWeak.v,0,7,intros;unfold;apply;intro;contradict;apply;assumption
ack_in_flight_to_primary_backup,systems/Counter.v,17,7,intros;unfold;simpl;repeat;break_match;congruence;auto
step_1_star_trace_state_correct,systems/VarD.v,6,130,intros;find_apply_lem_hyp;induction;auto;unfold;auto;unfold;intros;invcs;unfold;vard_unfold;repeat;break_match;simpl;repeat;find_inversion;destruct;rewrite;simpl;auto;rewrite;simpl;subst;symmetry;apply;reflexivity;rewrite;simpl;eauto;rewrite;auto;destruct;rewrite;simpl;auto;rewrite;simpl;subst;eauto;rewrite;simpl;eauto;destruct;rewrite;simpl;auto;rewrite;simpl;subst;eauto;rewrite;auto;rewrite;simpl;eauto;rewrite;auto;destruct;subst;rewrite;simpl;auto;rewrite;simpl;break_if;rewrite;auto;exfalso;intuition;rewrite;simpl;eauto;rewrite;auto;destruct;rewrite;simpl;auto;rewrite;simpl;subst;break_if;subst;exfalso;intuition;simpl;apply;rewrite;simpl;eauto;destruct;subst;rewrite;simpl;auto;rewrite;simpl;break_if;simpl;symmetry;rewrite;auto;exfalso;intuition;apply;find_higher_order_rewrite;auto;rewrite;simpl;eauto;rewrite;auto;destruct;subst;rewrite;simpl;auto;rewrite;simpl;break_if;simpl;intuition;exfalso;intuition;apply;find_higher_order_rewrite;auto;rewrite;simpl;eauto
LockServ_nwnw_net_handlers_old_new,systems/LiveLockServ.v,46,2,set_up_net_handlers;eauto
not_in_map_not_in_failed,core/TotalMapSimulations.v,29,11,elim;move;case;case;left;rewrite;contradict;apply;move;case;right
pt_ext_map_update_eq,core/PartialExtendedMapSimulations.v,1,12,move;apply;rewrite;case;case;rewrite;rewrite;case;rewrite;rewrite;rewrite;rewrite
step_ordered_dynamic_star_lb_step_reachable,core/LabeledNet.v,14,26,rewrite;move;move;invcs;set;apply;rewrite;apply;exact;apply;rewrite;repeat;break_let;tuple_inversion;set;apply;rewrite;apply;exact;apply;rewrite;repeat;break_let;tuple_inversion;have;auto
pt_map_odnet_tot_map_label_event_strong_fairness,core/PartialMapExecutionSimulations.v,22,13,move;rewrite;have;rewrite;apply;apply;move;rewrite;rewrite;unfold;apply;move;rewrite
step_1_star_singleton_trace,systems/PrimaryBackup.v,40,9,intros;invc;invc;rewrite;subst;auto;invc;invc;discriminate
lb_step_ordered_failure_tot_mapped_simulation_1,core/TotalMapExecutionSimulations.v,6,66,move;invcs;apply;rewrite;rewrite;find_rewrite;exact;rewrite;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;rewrite;repeat;break_let;repeat;tuple_inversion;rewrite;rewrite;set;set;have;rewrite;apply;rewrite;break_if;break_if;rewrite;rewrite;rewrite;rewrite;rewrite;apply;exact;rewrite;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;rewrite;repeat;break_let;repeat;tuple_inversion;rewrite;rewrite;set;set;have;rewrite;apply;rewrite;break_if;break_if;rewrite;rewrite;rewrite;rewrite;rewrite;exact
step_failure_serialize_simulation_star,systems/SerializedMsgParamsCorrect.v,4,22,move;apply;rewrite;rewrite;rewrite;move;rewrite;set;have;rewrite;apply;case;rewrite;rewrite;set;suff;rewrite;elim;case;case;rewrite;rewrite
reachable_intro,systems/LiveLockServ.v,55,3,unfold;intros;eauto
refl_trans_n1_1n_trace,core/Net.v,7,5,intros;induction;constructor;apply;eauto
adjacent_to_irreflexive,core/NameOverlay.v,1,6,unfold;unfold;unfold;intros;inversion;auto
lb_step_execution_lb_step_ordered_dynamic_failure_tot_map_odnet_infseq,core/TotalMapExecutionSimulations.v,14,20,cofix;move;rewrite;inversion;subst;rewrite;apply;apply;have;destruct;have;destruct;simpl;find_rewrite;rewrite;set;have;pose;rewrite;exact
In_n_Nodes,systems/LockServ.v,0,9,intros;unfold;simpl;destruct;right;apply;apply;left;reflexivity
last_holder'_locked_some_eq,systems/LockServ.v,59,8,induction;intros;simpl;repeat;break_match;subst;eauto;congruence
locks_correct_unlock_true_to_false,systems/LockServ.v,28,6,unfold;intros;exists;intuition;now;rewrite
tot_map_in_snd,core/TotalMapSimulations.v,19,9,move;elim;move;case;case;case;inversion;exact;exact
locks_correct_true_at_head_of_queue,systems/LiveLockServ.v,14,5,unfold;intros;find_apply_hyp_hyp;break_exists;eauto
dup_drop_step_star_step_n1,core/DupDropReordering.v,1,3,intros;econstructor;eauto
locks_correct_invariant,systems/LiveLockServ.v,57,6,intros;assert;find_apply_lem_hyp;unfold;apply;auto
locks_correct_unlock_at_head,systems/LiveLockServ.v,33,13,unfold;intros;find_apply_hyp_hyp;clear;break_exists;unfold;intuition;break_exists;repeat;find_rewrite;repeat;find_inversion;eauto
network_eq,systems/SeqNumCorrect.v,7,5,intros;destruct;simpl;subst;auto
locks_correct_locked_invariant,systems/LiveLockServ.v,56,6,intros;assert;find_apply_lem_hyp;unfold;apply;auto
post_net_analyze_sent_packet,core/StatePacketPacketDecomposition.v,0,5,intros;in_crush;destruct;simpl;eauto
ZOOOPST_cons_intro,systems/PrimaryBackup.v,75,7,unfold;simpl;intuition;subst;simpl;discriminate;eauto
Nth_tl,systems/LiveLockServ.v,83,3,induction;intros;solve_by_inversion
NOABT_singleton_inl,systems/PrimaryBackup.v,69,6,unfold;simpl;intuition;subst;simpl;discriminate
locks_correct_locked_at_head,systems/LockServ.v,12,6,unfold;firstorder;repeat;find_rewrite;find_inversion;eauto
pt_map_odnet_tot_map_labeled_event_state_continuously_enabled,core/PartialMapExecutionSimulations.v,21,19,move;have;auto;move;apply;apply;exact;apply;exact;apply;exact;exact;rewrite;move;apply;apply;case;simpl;exact
ZOOOPST_singleton_singleton,systems/PrimaryBackup.v,78,7,unfold;simpl;intuition;subst;simpl;find_inversion;eauto
last_holder'_no_out_extend,systems/LiveLockServ.v,52,7,induction;intros;simpl;repeat;break_match;subst;intuition
pt_nodup_perm_map_map_pair_perm,core/PartialMapSimulations.v,22,56,move;apply;split;apply;exact;apply;exact;apply;apply;move;apply;exact;case;have;rewrite;rewrite;rewrite;apply;apply;apply;move;apply;move;have;rewrite;exact;apply;rewrite;have;apply;rewrite;exact;exact;exact;case;have;rewrite;rewrite;rewrite;apply;move;rewrite;apply;apply;move;apply;have;apply;apply;apply;rewrite;apply;move;apply;apply;exact
lb_step_ordered_dynamic_failure_pt_mapped_simulation_1_silent,core/PartialMapExecutionSimulations.v,15,101,move;invcs;rewrite;case;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;break_and;unfold;repeat;break_let;repeat;tuple_inversion;have;rewrite;repeat;break_let;repeat;tuple_inversion;concludes;break_and;have;rewrite;repeat;break_let;repeat;tuple_inversion;rewrite;rewrite;rewrite;set;set;set;set;have;rewrite;apply;apply;break_if;break_and;rewrite;have;rewrite;apply;break_if;rewrite;rewrite;split;exact;rewrite;repeat;find_rewrite;case;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;break_and;unfold;repeat;break_let;tuple_inversion;have;rewrite;repeat;break_let;repeat;tuple_inversion;concludes;break_and;have;rewrite;repeat;break_let;repeat;tuple_inversion;rewrite;rewrite;set;set;have;rewrite;apply;rewrite;break_if;rewrite;rewrite;split;exact;rewrite;repeat;find_rewrite;split;exact
in_failed_exclude,core/TotalMapSimulations.v,26,20,elim;rewrite;have;break_or_hyp;break_and;find_rewrite;move;apply;move;split;right;move;case;rewrite;split;left;apply;move;split;right
disk_correct_invariant,systems/LogCorrect.v,4,32,intros;change;induction;subst;intros;simpl;unfold;simpl;exists;intuition;concludes;invcs;break_if;rewrite;intuition;apply;reflexivity;assumption;break_if;rewrite;apply;reflexivity;assumption;assumption;assumption;assumption;break_if;repeat;find_rewrite;find_apply_lem_hyp;assumption;assumption
collate_pt_map_update2_eq,core/PartialMapSimulations.v,12,3,move;rewrite;rewrite
step_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,9,37,move;have;have;rewrite;rewrite;move;induction;rewrite;rewrite;rewrite;exists;split;exact;concludes;rewrite;case;case;rewrite;move;apply;case;move;exists;split;have;apply;rewrite;apply;exact;rewrite;move;rewrite;move;exists;split;rewrite;rewrite
correspond_preserved_primary_apply_entry,systems/PrimaryBackup.v,17,15,unfold;intros;subst;rewrite;repeat;find_rewrite;simpl;repeat;break_match;repeat;find_inversion;find_rewrite;find_inversion;rewrite;auto
reghost_deghost_partial_inverses,core/GhostSimulations.v,3,6,destruct;unfold;simpl;f_equal;rewrite;map_id
LockServ_nwnw_input_handlers_old_new,systems/LiveLockServ.v,43,11,unfold;set_up_input_handlers;auto;destruct;auto;now;rewrite;eauto;now;rewrite;eauto
step_async_pt_ext_mapped_simulation_star_1,core/PartialExtendedMapSimulations.v,4,26,move;move;induction;rewrite;rewrite;rewrite;exists;exact;concludes;rewrite;apply;case;move;move;exists;have;apply;have;rewrite;apply;exact;move;move;exists;rewrite;rewrite
filterMap_pt_map_trace_ev_outputs_eq,core/PartialMapSimulations.v,13,4,elim;move;case;rewrite
locked_in_flight_all_clients_false,systems/LockServ.v,24,9,intros;destruct;auto;firstorder;find_copy_apply_lem_hyp;auto;unfold;break_exists;congruence
locks_correct_invariant,systems/LockServ.v,57,6,intros;assert;find_apply_lem_hyp;unfold;apply;auto
tot_map_odnet_hd_step_ordered_dynamic_failure_star_always,core/TotalMapExecutionSimulations.v,17,7,case;apply;exact;rewrite;apply;have;destruct
last_holder_some_unlock_inv,systems/LiveLockServ.v,70,9,induction;intros;simpl;repeat;break_match;subst;intuition;congruence;eauto
in_map_pair_adjacent_to,core/TotalMapSimulations.v,24,17,move;elim;rewrite;have;break_or_hyp;break_and;find_rewrite;exact;rewrite;case;move;case;inversion;left;right;exact;exact
NOABT_app,systems/PrimaryBackup.v,65,5,induction;intros;simpl;auto;eauto
revert_trace_app,systems/PrimaryBackup.v,55,11,induction;intros;simpl;auto;rewrite;repeat;break_match;subst;auto;rewrite;auto
locks_correct_unlock_sent_locked,systems/LiveLockServ.v,22,3,unfold;intuition;congruence
map_eq_name_eq_eq,core/TotalMapSimulations.v,15,10,elim;case;move;case;move;inversion;find_apply_lem_hyp;find_eapply_lem_hyp;repeat;find_rewrite
last_holder'_input_inv,systems/LiveLockServ.v,64,9,induction;intros;simpl;repeat;break_match;auto;congruence;subst;eauto
snoc_at_head_of_queue_preserved,systems/LiveLockServ.v,19,6,unfold;intuition;break_exists;rewrite;find_rewrite;eauto
post_input_analyze_sent_packet,core/StatePacketPacketDecomposition.v,1,5,intros;in_crush;destruct;simpl;eauto
NOABT_singleton_inr_read_response,systems/PrimaryBackup.v,67,8,unfold;simpl;intros;intuition;subst;simpl;find_inversion;auto
InputHandler_lbcases,systems/LiveLockServ.v,74,21,handler_unfold;intros;repeat;break_match;repeat;tuple_inversion;subst;simpl;subst;simpl;left;eexists;intuition;left;eexists;intuition;left;eexists;intuition;auto;auto
processPackets_ge_start,systems/SeqNumCorrect.v,2,15,induction;intros;simpl;invcs;intuition;break_match;invcs;intuition;subst;simpl;apply;intuition;specialize;apply;auto
locked_in_flight_all_clients_false,systems/LiveLockServ.v,24,9,intros;destruct;auto;firstorder;find_copy_apply_lem_hyp;auto;unfold;break_exists;congruence
processInputs_cons_defn,systems/PrimaryBackup.v,36,1,auto
locks_correct_true_at_head_of_queue,systems/LockServ.v,14,5,unfold;intros;find_apply_hyp_hyp;break_exists;eauto
filterMap_pt_map_name_msg_empty_eq,core/PartialMapSimulations.v,1,5,elim;case;rewrite;case;rewrite
all_Names_Nodes,systems/Counter.v,0,3,destruct;simpl;auto
outputs_1_on_nil,systems/PrimaryBackup.v,34,1,auto
ServerNetHandler_cases,systems/LockServ.v,9,34,handler_unfold;intros;repeat;break_match;repeat;tuple_inversion;subst;find_apply_lem_hyp;find_rewrite;simpl;intuition;left;eexists;intuition;simpl;find_apply_lem_hyp;intuition;left;eexists;intuition;simpl;auto;simpl;destruct;simpl;subst;auto;simpl;intuition;simpl;intuition;eauto;simpl;intuition
processInputs_app,systems/PrimaryBackup.v,27,16,induction;intros;simpl;repeat;break_match;auto;find_inversion;find_higher_order_rewrite;repeat;break_match;repeat;find_inversion;repeat;find_rewrite;find_inversion;auto
trace_mutex'_unlock_extend,systems/LiveLockServ.v,67,8,induction;intros;simpl;repeat;break_match;intuition;auto;congruence
ack_in_flight_to_primary_app,systems/Counter.v,16,5,unfold;intros;rewrite;rewrite;auto
outputs_m_app,systems/PrimaryBackup.v,11,10,intros;induction;simpl;auto;repeat;break_match;subst;auto;rewrite;auto
inputs_m_inl_read_singleton,systems/PrimaryBackup.v,22,3,intros;destruct;auto
trace_relations_work,core/TraceRelations.v,0,10,intros;find_copy_apply_lem_hyp;induction;intros;exfalso;eauto;subst;destruct;intuition;eauto
locks_correct_locked_input_handlers_new,systems/LiveLockServ.v,30,2,set_up_input_handlers;auto
pt_map_msg_update2,core/PartialMapSimulations.v,10,18,move;apply;apply;rewrite;case;case;move;case;rewrite;rewrite;rewrite;rewrite;move;case;rewrite;rewrite;rewrite;rewrite
